"key","household"
"台中市沙鹿區清泉里",893
"台中市沙鹿區犁分里",370
"台中市沙鹿區福興里",1337
"台中市沙鹿區竹林里",2663
"台中市沙鹿區美仁里",176
"台中市沙鹿區興仁里",937
"台中市沙鹿區興安里",1253
"台中市沙鹿區西勢里",865
"台中市沙鹿區鹿寮里",2401
"台中市沙鹿區鹿峰里",1776
"台中市清水區下湳里",962
"台中市清水區中社里",1193
"台中市清水區中興里",182
"台中市清水區北寧里",346
"台中市清水區南寧里",713
"台中市清水區南社里",3645
"台中市清水區吳厝里",560
"台中市清水區國姓里",704
"台中市清水區文昌里",285
"台中市清水區東山里",450
"台中市清水區楊厝里",418
"台中市清水區槺榔里",1797
"台中市清水區橋頭里",2667
"台中市清水區武鹿里",1220
"台中市清水區海濱里",746
"台中市清水區海風里",525
"台中市清水區清水里",836
"台中市清水區田寮里",816
"台中市清水區秀水里",1494
"台中市清水區臨江里",550
"台中市清水區菁埔里",733
"台中市清水區裕嘉里",486
"台中市清水區西寧里",580
"台中市清水區西社里",853
"台中市清水區靈泉里",410
"台中市清水區頂湳里",589
"台中市清水區高北里",384
"台中市清水區高南里",452
"台中市清水區高東里",490
"台中市清水區高美里",456
"台中市清水區高西里",462
"台中市清水區鰲峰里",455
"台中市潭子區嘉仁里",1325
"台中市潭子區大富里",939
"台中市潭子區大豐里",2249
"台中市潭子區家福里",1797
"台中市潭子區家興里",3110
"台中市潭子區新田里",582
"台中市潭子區東寶里",4450
"台中市潭子區栗林里",1677
"台中市潭子區潭北里",910
"台中市潭子區潭秀里",501
"台中市潭子區潭陽里",4677
"台中市潭子區甘蔗里",3842
"台中市潭子區福仁里",4052
"台中市潭子區聚興里",1464
"台中市潭子區頭家東里",1796
"台中市潭子區頭家里",2102
"台中市烏日區三和里",1825
"台中市烏日區九德里",5099
"台中市烏日區五光里",598
"台中市烏日區仁德里",2938
"台中市烏日區光明里",793
"台中市烏日區前竹里",801
"台中市烏日區北里里",544
"台中市烏日區南里里",407
"台中市烏日區學田里",882
"台中市烏日區東園里",656
"台中市烏日區榮泉里",1822
"台中市烏日區湖日里",1009
"台中市烏日區溪埧里",1444
"台中市烏日區溪尾里",299
